ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
118,GAS,1,TRUNK,65009,97009,5-08,8-12,8-10,09-14,
118,GAS,2,TRUNK,97009,65009,10-10,8-11,4-08,9-12,
118A,GAS,1,TRUNK,65199,96119,14-16,-,-,-,
118B,GAS,1,TRUNK,96111,65191,-,-,24-57,-,
119,GAS,1,TRUNK,65009,65009,16-08,18-12,17-12,15-17,Hougang St 21
12,GAS,1,TRUNK,77009,10499,9,09-14,9-10,11-13,
12,GAS,2,TRUNK,10499,77009,10,08-15,08-14,10-14,
12e,GAS,1,EXPRESS,77009,10499,20-30,30,20-30,20-30,
12e,GAS,2,EXPRESS,10499,77009,20-30,20-30,20-30,20-30,
136,GAS,1,TRUNK,54009,65009,09-13,10-13,10-15,15-19,
136,GAS,2,TRUNK,65009,54009,08-15,11-16,10-11,17-20,
15,GAS,1,TRUNK,77009,77009,4-09,04-13,07-15,13-16,Marine Parade Rd
15A,GAS,1,TRUNK,77009,83109,09-17,-,-,-,
17,GAS,1,TRUNK,77009,84009,8-11,10-12,10-11,11-15,
17,GAS,2,TRUNK,84009,77009,5-11,5-12,5-12,5-12,
17A,GAS,1,TRUNK,84009,84591,04-22,10-46,10-22,22-24,Bedok Nth Dr
2,GAS,1,TRUNK,99009,10499,10-10,09-16,09-18,14-18,
2,GAS,2,TRUNK,10499,99009,8-12,09-17,9-10,10-18,
2A,GAS,1,FEEDER,10499,85091,18-62,-,17-55,-,
3,GAS,1,TRUNK,75009,65009,7-11,09-14,8-09,12-14,
3,GAS,2,TRUNK,65009,75009,8-10,09-15,9-12,12-17,
34,GAS,1,TRUNK,65009,65009,4-09,04-15,09-13,11-14,PTB2 Basement
34A,GAS,1,TRUNK,65009,76059,18-44,26-39,00-00,00-00,PTB2 Basement
34B,GAS,1,TRUNK,75359,75351,109,-,106,-,
354,GAS,1,FEEDER,77009,77009,06-08,07-09,07-08,08-15,Jln Loyang Besar
358,GAS,1,TOWNLINK,77009,77009,05-07,07-08,05-07,05-13,Pasir Ris Dr 4
359,GAS,1,TOWNLINK,77009,77009,05-08,07-10,05-08,05-13,Pasir Ris St 11
36,GAS,1,TRUNK,95129,95129,08,08-11,08-10,08-12,Tomlinson Rd
36A,GAS,1,TRUNK,95129,09191,-,-,-,11-12,Tomlinson Rd
36B,GAS,1,TRUNK,93049,93199,08-08,09-283,09-09,-,Tomlinson Rd
381,GAS,1,FEEDER,65009,65009,10-12,10-12,10-12,10-15,Punggol East
382,GAS,1,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
382,GAS,2,FEEDER,65009,65009,8,8-10,8-10,8-12,Sumang Walk
382A,GAS,1,FEEDER,65009,65531,-,-,-,24-24,
382G,GAS,1,FEEDER,65009,65009,08-10,08-10,08-10,08-12,Sumang Walk
382W,GAS,1,FEEDER,65009,65009,08-10,08-10,08-10,08-12,Sumang Walk
386,GAS,1,FEEDER,65009,65009,07-11,15-10,07-11,15-07,Punggol Ctrl
386A,GAS,1,FEEDER,65009,65371,0-0,0-0,22-40,25-30,
3A,GAS,1,TRUNK,75009,77331,00-00,12-75,8-37,12-124,
3B,GAS,1,TRUNK,77289,77009,15-16,00-00,00-00,00-00,
403,GAS,1,TRUNK,77009,77009,09-13,13-19,14-19,14-15,Pasir Ris Rd
43,GAS,1,TRUNK,65009,94009,9,08-16,13-16,15-16,
43,GAS,2,TRUNK,94009,65009,14,10-17,10-17,13-18,
43e,GAS,1,EXPRESS,65009,92051,20-30,20-30,-,-,
43e,GAS,2,EXPRESS,92059,65009,-,-,20-30,20-30,
43M,GAS,1,TRUNK,65009,65009,07-10,08-17,04-15,13-16,S'goon Ctrl
518,GAS,1,EXPRESS,77009,77009,17-20,15-20,15-20,13-20,Bayfront Ave
518A,GAS,1,EXPRESS,77009,03519,30,-,-,-,
6,GAS,1,TRUNK,77009,77009,07-08,07-17,07-08,08,Loyang Cres
62,GAS,1,TRUNK,65009,65009,8-09,08-17,07-14,07-17,Sims Ave
62A,GAS,1,TRUNK,65009,81089,00-00,00-00,28,28,Sims Ave
661,GAS,1,EXPRESS,78111,03391,20-20,-,-,-,
661,GAS,2,EXPRESS,03539,78119,-,-,15-15,-,
68,GAS,1,TRUNK,77009,77009,15,15,15,15,Tampines Ctrl 1
68A,GAS,1,TRUNK,75469,75009,15-16,-,-,-,
68B,GAS,1,TRUNK,75009,75461,-,-,14-15,-,
82,GAS,1,TRUNK,65009,65009,13-15,15-12,17-12,14-18,S'goon Ctrl
83,GAS,1,TRUNK,65009,65009,10-10,09-14,8-10,12-16,Sengkang Sq
84,GAS,1,TRUNK,65009,65009,10,10,10,10-15,Punggol Rd
85,GAS,1,TRUNK,65009,59009,09-15,09-16,9-10,14-18,
85,GAS,2,TRUNK,59009,65009,10-14,10-15,9-10,11-18,
85A,GAS,1,TRUNK,59009,67441,10-14,10-15,9-10,11-18,
10,SBST,1,TRUNK,75009,16009,09-09,05-17,10-15,11-15,
10,SBST,2,TRUNK,16009,75009,10-11,09-16,07-12,12-16,
100,SBST,1,TRUNK,66009,11009,06-10,06-15,07-13,13-22,
100,SBST,2,TRUNK,11009,66009,06-08,06-13,08-12,12-15,
100A,SBST,1,TRUNK,66009,81089,17-44,-,19-30,15-19,
101,SBST,1,TRUNK,66009,66009,08-09,07-13,08-09,08-14,Buangkok Cres
102,SBST,1,TRUNK,64009,64009,10-11,10-13,11-12,11-15,Seletar Aerospace Avenue
103,SBST,1,TRUNK,66009,59009,09-12,09-15,10-13,10-16,
103,SBST,2,TRUNK,59009,66009,09-11,09-16,08-11,13-17,
105,SBST,1,TRUNK,66009,28009,08-11,08-15,09-16,11-16,
105,SBST,2,TRUNK,28009,66009,07-15,08-15,09-14,12-14,
105B,SBST,1,TRUNK,28009,17179,14-14,-,-,-,
107,SBST,1,TRUNK,64009,03239,07-10,09-17,09-17,16-16,
107,SBST,2,TRUNK,03239,64009,13-15,09-16,09-10,09-10,
107M,SBST,1,TRUNK,64009,64009,13-14,11-17,14-14,13-14,Raffles Blvd
109,SBST,1,TRUNK,66009,99009,9-15,08-17,08-20,11-15,
109,SBST,2,TRUNK,99009,66009,10-15,09-17,10-13,13-19,
109A,SBST,1,TRUNK,66009,64611,-,-,28-28,15-26,
10e,SBST,1,EXPRESS,85049,03217,10-14,-,-,-,
10e,SBST,2,EXPRESS,03222,85041,-,-,10-10,-,
11,SBST,1,TRUNK,80009,80009,15-17,15-19,15-19,15-18,Rhu Cross
111,SBST,1,TRUNK,11009,11009,9-10,9-14,11-11,10-14,Temasek Ave
112,SBST,1,TRUNK,64009,64009,10-13,10-14,10-13,12-15,Hougang St 92
112A,SBST,1,TRUNK,64009,63031,-,-,-,15-15,
113,SBST,1,TRUNK,64009,64009,14-15,11-18,16-18,11-17,Upp Paya Lebar Rd
113A,SBST,1,TRUNK,63039,63031,-,-,16-21,-,Upp Paya Lebar Rd
115,SBST,1,TRUNK,63221,63221,31-31,29-50,32-32,-,Hougang Ave 3
116,SBST,1,TRUNK,64009,64009,09-10,10-14,10-10,10-14,S'goon Ctrl
116A,SBST,1,TRUNK,66439,66359,31-31,-,-,-,
117,SBST,1,TRUNK,65009,58009,11-12,11-14,10-11,13-13,
117,SBST,2,TRUNK,58009,65009,08-12,11-14,10-11,11-14,
117A,SBST,1,TRUNK,59479,59041,13-13,-,-,-,
117B,SBST,1,TRUNK,58009,59073,-,-,-,-,
120,SBST,1,TRUNK,10499,10499,11-12,11-14,11-13,12-15,Telok Blangah Hts
121,SBST,1,TRUNK,10499,10499,10-10,10-13,10-12,10-12,Telok Blangah Rise
122,SBST,1,TRUNK,10499,10499,11-13,12-16,13-17,13-17,C'wealth Dr
123,SBST,1,TRUNK,10009,14539,10-12,12-15,12-16,15-16,
123,SBST,2,TRUNK,14539,10009,11-12,11-15,13-14,14-15,
123M,SBST,1,TRUNK,14009,14009,10-14,10-20,12-15,14-15,Tiong Bahru Rd
124,SBST,1,TRUNK,52499,14009,06-08,06-10,06-08,06-10,
124,SBST,2,TRUNK,14009,52499,05-09,05-10,05-09,07-11,
125,SBST,1,TRUNK,52499,52499,11-12,9-18,9-17,15-18,Sims Dr
125A,SBST,1,TRUNK,81081,60219,07-13,-,-,-,
127,SBST,1,TRUNK,75009,75009,10-10,15-20,10-15,10-20,Tampines Ind Ave 5
127A,SBST,1,TRUNK,75009,75281,-,-,-,20-20,
128,SBST,1,TRUNK,55009,03239,15-15,-,-,-,
128,SBST,2,TRUNK,03239,55009,-,-,15-15,-,
129,SBST,1,TRUNK,75019,52499,12-12,15-15,12-15,12-15,
129,SBST,2,TRUNK,52499,75019,12-12,15-15,12-15,12-15,
13,SBST,1,TRUNK,55509,94009,09-11,08-13,10-14,13-17,
13,SBST,2,TRUNK,94009,55509,10-13,08-14,08-11,11-19,
130,SBST,1,TRUNK,54009,03239,08-10,10-14,10-15,15-16,
130,SBST,2,TRUNK,03239,54009,12-14,10-14,10-13,13-15,
130A,SBST,1,TRUNK,54009,53189,10-22,10-42,-,-,
131,SBST,1,TRUNK,52499,10009,05-11,08-14,10-10,10-14,
131,SBST,2,TRUNK,10009,52499,07-11,07-14,09-14,10-14,
131A,SBST,1,TRUNK,52499,03217,15-16,-,-,-,
131M,SBST,1,TRUNK,10009,10009,27-33,29-29,24-33,33-33,Bt Purmei Ave
132,SBST,1,TRUNK,64009,10009,09-16,08-19,13-19,13-19,
132,SBST,2,TRUNK,10009,64009,11-15,10-19,07-14,15-16,
133,SBST,1,TRUNK,54009,03239,09-09,08-12,09-12,10-12,
133,SBST,2,TRUNK,03239,54009,11-12,08-11,09-09,10-11,
134,SBST,1,TRUNK,80289,80289,10-10,12-13,11-13,11-12,Marine Terr
135,SBST,1,TRUNK,54009,54009,10-11,10-13,11-14,13-15,Siglap Rd
135A,SBST,1,TRUNK,54009,93201,-,-,-,14-14,Siglap Rd
137,SBST,1,TRUNK,80289,94009,14-15,10-15,12-15,14-15,
137,SBST,2,TRUNK,94009,80289,14-15,12-16,12-15,13-15,
137A,SBST,1,TRUNK,84031,84451,15-19,-,-,-,
138,SBST,1,TRUNK,54009,54009,10-11,08-11,08-11,08-12,Mandai Lake Rd
138A,SBST,1,TRUNK,54009,48131,-,13-14,-,-,Mandai Lake Rd
138B,SBST,1,TRUNK,54009,55121,-,-,22-22,14-24,
139,SBST,1,TRUNK,52009,10009,08-10,11-15,09-13,13-17,
139,SBST,2,TRUNK,10009,52009,08-12,09-16,11-13,12-17,
139M,SBST,1,TRUNK,52009,52009,10-19,12-20,10-20,12-18,Jln Bahagia
13A,SBST,1,TRUNK,54019,53231,10-19,11-19,-,-,
14,SBST,1,TRUNK,84009,17009,09-12,07-16,14-15,10-19,
14,SBST,2,TRUNK,17009,84009,12-14,09-16,10-12,12-17,
140,SBST,1,TRUNK,80009,80009,14-14,14-15,14-15,14-15,St. Wilfred Rd
141,SBST,1,TRUNK,80009,52009,11-13,13-15,14-15,13-15,
141,SBST,2,TRUNK,52009,80009,10-12,12-15,11-15,13-15,
142,SBST,1,TRUNK,52009,52009,08-09,07-10,08-08,08-11,Potong Pasir Ave 1
142A,SBST,1,TRUNK,52009,60209,-,-,-,-,Potong Pasir Ave 1
145,SBST,1,TRUNK,52009,11379,06-08,06-14,09-11,11-14,
145,SBST,2,TRUNK,11379,52009,08-09,06-11,07-13,11-14,
145A,SBST,1,TRUNK,10209,14249,08-27,09-24,-,-,
147,SBST,1,TRUNK,64009,17009,06-12,06-18,09-13,08-13,
147,SBST,2,TRUNK,17009,64009,07-10,08-14,07-09,10-11,
147A,SBST,1,TRUNK,64009,05019,17-23,15-51,-,-,
147e,SBST,1,EXPRESS,04239,17009,20-20,20-30,20-30,20-30,
147e,SBST,2,EXPRESS,17009,04222,20-30,20-30,20-20,20-30,
14A,SBST,1,TRUNK,84009,09059,18-18,14-24,-,-,
14e,SBST,1,EXPRESS,84211,09048,12-13,-,-,-,
14e,SBST,2,EXPRESS,09048,84219,-,-,12-12,-,
150,SBST,1,TRUNK,82009,82009,12-12,13-15,12-13,14-15,Marine Terr
151,SBST,1,TRUNK,64009,16009,06-12,06-15,08-10,14-17,
151,SBST,2,TRUNK,16009,64009,07-13,07-17,08-09,10-20,
151e,SBST,1,EXPRESS,64009,16009,15-15,-,-,-,
151e,SBST,2,EXPRESS,16009,64009,-,-,15-15,-,
153,SBST,1,TRUNK,10009,64009,12-15,12-15,09-11,14-16,
153,SBST,2,TRUNK,64009,10009,10-15,09-16,10-13,15-18,
154,SBST,1,TRUNK,22009,82009,04-10,05-11,07-10,08-19,
154,SBST,2,TRUNK,82009,22009,09-13,06-14,06-11,08-15,
154A,SBST,1,TRUNK,21551,28091,22-25,-,-,-,
154B,SBST,1,TRUNK,22009,12101,08-42,-,-,-,
155,SBST,1,TRUNK,52009,84009,10-15,09-16,15-17,15-17,
155,SBST,2,TRUNK,84009,52009,10-12,10-17,09-17,16-17,
156,SBST,1,TRUNK,67009,17009,09-17,09-17,11-15,15-19,
156,SBST,2,TRUNK,17009,67009,11-14,09-17,10-14,15-17,
157,SBST,1,TRUNK,52009,22009,08-14,07-15,08-10,11-15,
157,SBST,2,TRUNK,22009,52009,09-11,07-15,08-12,11-17,
158,SBST,1,TRUNK,66009,66009,11-13,10-16,13-14,13-17,Rhu Cross
158A,SBST,1,TRUNK,81089,81081,26-26,-,-,-,Rhu Cross
159,SBST,1,TRUNK,67009,52009,06-14,07-14,09-11,10-13,
159,SBST,2,TRUNK,52009,67009,09-13,08-12,09-11,10-14,
159A,SBST,1,TRUNK,67009,54399,11-19,13-21,-,-,
159B,SBST,1,TRUNK,54391,54481,04-53,-,-,-,
16,SBST,1,TRUNK,84009,10009,08-09,07-13,10-12,10-12,
16,SBST,2,TRUNK,10009,84009,10-10,07-13,10-11,10-13,
160,SBST,1,TRUNK,28009,28009,15-18,12-20,14-17,15-20,Jln Jim Quee
160A,SBST,1,TRUNK,28009,43671,13-15,15-15,15-15,14-15,
161,SBST,1,TRUNK,64009,46009,5-9,6-11,7-9,9-13,
161,SBST,2,TRUNK,46009,64009,5-10,6-10,6-10,8-12,
162,SBST,1,TRUNK,55509,03239,10-11,09-15,09-10,-,
162,SBST,2,TRUNK,03239,55509,13-15,08-15,12-19,18-18,
162M,SBST,1,TRUNK,55509,55509,11-13,12-15,14-15,14-15,Temasek Ave
163,SBST,1,TRUNK,67009,52009,07-10,07-13,07-12,12-15,
163,SBST,2,TRUNK,52009,67009,06-12,06-13,07-09,07-15,
163A,SBST,1,TRUNK,67009,67651,-,-,-,16-17,
165,SBST,1,TRUNK,64009,17009,08-14,09-17,10-11,13-17,
165,SBST,2,TRUNK,17009,64009,10-12,09-14,09-15,12-15,
166,SBST,1,TRUNK,54009,17009,08-10,08-19,08-14,14-19,
166,SBST,2,TRUNK,17009,54009,10-11,07-16,09-18,14-19,
168,SBST,1,TRUNK,84009,46009,05-08,6-11,05-11,10-13,
168,SBST,2,TRUNK,46009,84009,5-7,05-12,07-08,8-12,
170,SBST,1,TRUNK,01109,46239,12-18,13-20,18-19,12-15,
170,SBST,2,TRUNK,46239,01109,14-15,13-18,17-18,13-18,
170A,SBST,1,TRUNK,01109,46069,19-21,16-29,21-21,14-21,
170X,SBST,1,TRUNK,45131,47711,04-09,05-17,05-09,07-11,
170X,SBST,2,TRUNK,47711,45139,06-10,05-17,05-09,07-11,
174,SBST,1,TRUNK,22009,10499,09-10,05-14,12-19,12-19,
174,SBST,2,TRUNK,10499,22009,14-15,08-14,12-15,14-16,
174e,SBST,1,EXPRESS,22009,10499,13-13,-,-,-,
174e,SBST,2,EXPRESS,10499,22009,-,-,13-14,-,
175,SBST,1,TRUNK,17009,80009,11-15,10-20,15-15,17-19,
175,SBST,2,TRUNK,80009,17009,10-13,12-19,11-18,20-20,
179,SBST,1,TRUNK,22009,22009,04-08,02-06,04-06,05-07,Nanyang Dr
179A,SBST,1,TRUNK,22009,22009,02-07,04-07,-,-,Nanyang Dr
18,SBST,1,TRUNK,75019,75019,11-13,12-15,14-17,12-15,Bedok Nth Dr
181,SBST,1,TRUNK,22009,22009,6-8,6-10,6-8,7-12,Jurong West Ave 3
181M,SBST,1,TRUNK,22009,22009,06-07,-,-,-,Jurong West St 23
182,SBST,1,TRUNK,24009,24009,07-09,08-18,-,17-18,Tuas Sth Ave 9
182M,SBST,1,TRUNK,24009,24009,-,07-19,08-11,11-19,Tuas Sth Ave 9
185,SBST,1,TRUNK,22609,11379,08-15,09-17,12-14,13-14,
185,SBST,2,TRUNK,11379,22609,08-15,08-15,10-18,13-17,
186,SBST,1,TRUNK,03239,52499,15-16,11-19,12-14,12-16,
186,SBST,2,TRUNK,52499,03239,08-14,12-18,15-19,16-19,
19,SBST,1,TRUNK,75009,75009,06-07,06-16,06-08,08-14,Airport Cargo Rd
191,SBST,1,TRUNK,11379,11379,15-20,15-20,15-15,20-20,Media Circle
192,SBST,1,TRUNK,22009,25009,06-10,07-15,07-10,07-13,
192,SBST,2,TRUNK,25009,22009,08-09,07-13,05-09,13-14,
193,SBST,1,TRUNK,22009,25009,06-10,05-19,07-18,07-19,
193,SBST,2,TRUNK,25009,22009,09-18,07-19,07-09,08-18,
194,SBST,1,TRUNK,22009,22009,09-10,09-13,09-16,15-16,Jln Ahmad Ibrahim
195,SBST,1,TRUNK,02099,02099,08-14,07-17,09-16,08-16,C'wealth Ave
195A,SBST,1,TRUNK,02099,10169,-,40-40,-,-,C'wealth Ave
196,SBST,1,TRUNK,84009,17009,07-08,06-17,09-11,09-14,
196,SBST,2,TRUNK,17009,84009,11-14,05-15,08-13,11-13,
196A,SBST,1,TRUNK,84009,03218,-,-,-,-,
196e,SBST,1,EXPRESS,93049,03218,08-08,-,-,-,
196e,SBST,2,EXPRESS,03222,93041,-,-,08-08,-,
197,SBST,1,TRUNK,84009,28009,10-11,08-18,10-16,13-17,
197,SBST,2,TRUNK,28009,84009,07-13,08-16,10-14,13-14,
198,SBST,1,TRUNK,22009,10009,05-09,05-12,06-09,08-12,
198,SBST,2,TRUNK,10009,22009,06-09,05-11,06-13,11-13,
198A,SBST,1,TRUNK,22009,28459,-,-,09-17,08-19,
199,SBST,1,TRUNK,22009,22009,04-09,04-16,06-08,06-15,Nanyang Cres
1N,SBST,1,NIGHT SERVICE,02099,59561,-,-,-,40-40,
20,SBST,1,TRUNK,75009,75009,09-11,10-13,10-12,11-15,Changi Business Pk Ave 3
200,SBST,1,TRUNK,11379,11389,9-10,9-30,9-10,14-27,Clementi Rd
200A,SBST,1,TRUNK,11379,16009,-,-,-,-,Clementi Rd
201,SBST,1,TRUNK,16009,16009,10-12,11-15,10-14,12-15,Pandan Gdns
21,SBST,1,TRUNK,77009,52499,07-13,08-15,11-14,12-14,
21,SBST,2,TRUNK,52499,77009,09-11,08-14,09-15,12-15,
21A,SBST,1,TRUNK,80089,07231,-,-,05-24,-,
